x,y,z
1.0,0.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.707107,0.707107,0.0
0.707107,-0.707107,0.0
0.707107,0.0,0.707107
0.707107,0.0,-0.707107
0.0,0.707107,0.707107
0.0,0.707107,-0.707107
0.577350,0.577350,0.577350
0.577350,0.577350,-0.577350
0.577350,-0.577350,0.577350
0.577350,-0.577350,-0.577350
-0.577350,0.577350,0.577350
-0.577350,0.577350,-0.577350
-0.577350,-0.577350,0.577350
-0.577350,-0.577350,-0.577350
0.816497,0.408248,0.408248
0.816497,0.408248,-0.408248
0.816497,-0.408248,0.408248
0.816497,-0.408248,-0.408248
-0.816497,0.408248,0.408248
-0.816497,0.408248,-0.408248
-0.816497,-0.408248,0.408248
-0.816497,-0.408248,-0.408248
0.408248,0.816497,0.408248
0.408248,0.816497,-0.408248
0.408248,-0.816497,0.408248
0.408248,-0.816497,-0.408248
-0.408248,0.816497,0.408248
-0.408248,0.816497,-0.408248
-0.408248,-0.816497,0.408248
-0.408248,-0.816497,-0.408248
0.408248,0.408248,0.816497
0.408248,0.408248,-0.816497
0.408248,-0.408248,0.816497
0.408248,-0.408248,-0.816497
-0.408248,0.408248,0.816497
-0.408248,0.408248,-0.816497
-0.408248,-0.408248,0.816497
-0.408248,-0.408248,-0.816497
0.654654,0.654654,0.377964
0.654654,0.654654,-0.377964
0.654654,-0.654654,0.377964
0.654654,-0.654654,-0.377964
-0.654654,0.654654,0.377964
-0.654654,0.654654,-0.377964
-0.654654,-0.654654,0.377964
-0.654654,-0.654654,-0.377964
0.654654,0.377964,0.654654
0.654654,0.377964,-0.654654
0.654654,-0.377964,0.654654
0.654654,-0.377964,-0.654654
-0.654654,0.377964,0.654654
-0.654654,0.377964,-0.654654
-0.654654,-0.377964,0.654654
-0.654654,-0.377964,-0.654654
0.377964,0.654654,0.654654
